"","home.range.radius","MM.deathrate","NN.deathrate","hybrid.deathrate","MM.birthrate","NN.birthrate","hybrid.birthrate","NN.init.number","MM.init.number","phenotype","population","Fitness"
"1",2,4,4,4,6,6,6,100,500,"1 MM",6203,"birthrate>deathrate"
"2",2,4,4,4,6,6,6,100,500,"2 M-type",473,"birthrate>deathrate"
"3",2,4,4,4,6,6,6,100,500,"3 hybrid",46,"birthrate>deathrate"
"4",2,4,4,4,6,6,6,100,500,"4 N-type",0,"birthrate>deathrate"
"5",2,4,4,4,6,6,6,100,500,"5 NN",871,"birthrate>deathrate"
"6",2,4,4,4,6,6,6,100,500,"1 MM",3005,"birthrate>deathrate"
"7",2,4,4,4,6,6,6,100,500,"2 M-type",2893,"birthrate>deathrate"
"8",2,4,4,4,6,6,6,100,500,"3 hybrid",730,"birthrate>deathrate"
"9",2,4,4,4,6,6,6,100,500,"4 N-type",161,"birthrate>deathrate"
"10",2,4,4,4,6,6,6,100,500,"5 NN",832,"birthrate>deathrate"
"11",2,4,4,4,6,6,6,100,500,"1 MM",3250,"birthrate>deathrate"
"12",2,4,4,4,6,6,6,100,500,"2 M-type",3321,"birthrate>deathrate"
"13",2,4,4,4,6,6,6,100,500,"3 hybrid",595,"birthrate>deathrate"
"14",2,4,4,4,6,6,6,100,500,"4 N-type",134,"birthrate>deathrate"
"15",2,4,4,4,6,6,6,100,500,"5 NN",410,"birthrate>deathrate"
"16",2,4,4,4,6,6,6,100,500,"1 MM",5418,"birthrate>deathrate"
"17",2,4,4,4,6,6,6,100,500,"2 M-type",1084,"birthrate>deathrate"
"18",2,4,4,4,6,6,6,100,500,"3 hybrid",65,"birthrate>deathrate"
"19",2,4,4,4,6,6,6,100,500,"4 N-type",356,"birthrate>deathrate"
"20",2,4,4,4,6,6,6,100,500,"5 NN",671,"birthrate>deathrate"
"21",2,4,4,4,6,6,6,100,500,"1 MM",3756,"birthrate>deathrate"
"22",2,4,4,4,6,6,6,100,500,"2 M-type",2633,"birthrate>deathrate"
"23",2,4,4,4,6,6,6,100,500,"3 hybrid",515,"birthrate>deathrate"
"24",2,4,4,4,6,6,6,100,500,"4 N-type",120,"birthrate>deathrate"
"25",2,4,4,4,6,6,6,100,500,"5 NN",606,"birthrate>deathrate"
"26",2,4,4,4,6,6,6,100,500,"1 MM",5699,"birthrate>deathrate"
"27",2,4,4,4,6,6,6,100,500,"2 M-type",922,"birthrate>deathrate"
"28",2,4,4,4,6,6,6,100,500,"3 hybrid",21,"birthrate>deathrate"
"29",2,4,4,4,6,6,6,100,500,"4 N-type",126,"birthrate>deathrate"
"30",2,4,4,4,6,6,6,100,500,"5 NN",872,"birthrate>deathrate"
"31",2,4,4,4,6,6,6,100,500,"1 MM",3440,"birthrate>deathrate"
"32",2,4,4,4,6,6,6,100,500,"2 M-type",2187,"birthrate>deathrate"
"33",2,4,4,4,6,6,6,100,500,"3 hybrid",66,"birthrate>deathrate"
"34",2,4,4,4,6,6,6,100,500,"4 N-type",0,"birthrate>deathrate"
"35",2,4,4,4,6,6,6,100,500,"5 NN",1883,"birthrate>deathrate"
"36",2,4,4,4,6,6,6,100,500,"1 MM",3698,"birthrate>deathrate"
