M.type.x,M.type.y,N.type.x,N.type.y,hybrid.x,hybrid.y,MM.x,MM.y,NN.x,NN.y
0,0,0,0,0,0,0,500,0,100
1,0,1,0,1,1,1,499,1,98
2,0,2,0,2,1,2,499,2,99
3,0,3,0,3,1,3,503,3,100
4,0,4,0,4,1,4,503,4,101
5,0,5,0,5,1,5,502,5,101
6,0,6,0,6,1,6,500,6,99
7,0,7,0,7,1,7,498,7,98
8,0,8,0,8,1,8,498,8,98
9,0,9,0,9,1,9,495,9,97
10,0,10,0,10,1,10,496,10,95
11,0,11,0,11,1,11,498,11,96
12,0,12,0,12,1,12,493,12,94
13,0,13,0,13,1,13,499,13,95
14,0,14,0,14,1,14,500,14,95
15,0,15,0,15,1,15,501,15,94
16,0,16,0,16,1,16,504,16,92
17,0,17,0,17,1,17,502,17,92
18,0,18,0,18,1,18,500,18,93
19,0,19,0,19,1,19,501,19,94
20,0,20,0,20,1,20,499,20,94
21,0,21,0,21,1,21,497,21,92
22,0,22,0,22,1,22,495,22,92
23,0,23,0,23,1,23,494,23,94
24,0,24,0,24,2,24,494,24,91
25,0,25,0,25,3,25,492,25,90
26,0,26,0,26,3,26,494,26,90
27,0,27,0,27,3,27,495,27,86
28,0,28,1,28,3,28,493,28,89
29,0,29,1,29,3,29,499,29,87
30,0,30,1,30,3,30,496,30,88
31,0,31,1,31,3,31,498,31,88
32,0,32,1,32,3,32,495,32,89
33,0,33,1,33,3,33,495,33,89
34,0,34,1,34,3,34,498,34,89
35,0,35,1,35,3,35,499,35,89
36,0,36,1,36,3,36,499,36,88
37,0,37,1,37,3,37,495,37,90
38,0,38,1,38,3,38,494,38,90
39,0,39,1,39,3,39,490,39,91
40,0,40,1,40,3,40,488,40,92
41,0,41,1,41,5,41,486,41,91
42,0,42,1,42,5,42,488,42,90
43,0,43,2,43,5,43,488,43,89
44,0,44,2,44,5,44,488,44,89
45,0,45,2,45,5,45,489,45,89
46,0,46,2,46,6,46,490,46,90
47,0,47,2,47,6,47,491,47,91
48,0,48,2,48,6,48,490,48,91
49,0,49,2,49,6,49,489,49,91
50,0,50,2,50,6,50,489,50,91
51,1,51,2,51,6,51,489,51,90
52,1,52,2,52,6,52,491,52,90
53,1,53,1,53,6,53,492,53,90
54,1,54,1,54,6,54,488,54,88
55,1,55,1,55,6,55,487,55,87
56,1,56,1,56,6,56,488,56,87
57,1,57,0,57,6,57,488,57,87
58,1,58,0,58,6,58,493,58,88
59,1,59,0,59,6,59,493,59,88
60,1,60,0,60,7,60,490,60,89
61,2,61,0,61,8,61,489,61,89
62,2,62,1,62,8,62,490,62,89
63,2,63,1,63,8,63,487,63,89
64,2,64,1,64,8,64,492,64,90
65,2,65,1,65,8,65,491,65,90
66,2,66,1,66,8,66,494,66,91
67,2,67,1,67,8,67,494,67,90
68,2,68,1,68,8,68,488,68,89
69,2,69,2,69,8,69,486,69,89
70,2,70,2,70,8,70,487,70,88
71,2,71,2,71,8,71,485,71,90
72,2,72,2,72,8,72,482,72,90
73,2,73,2,73,8,73,482,73,89
74,2,74,2,74,8,74,480,74,90
75,2,75,2,75,8,75,477,75,88
76,2,76,1,76,8,76,483,76,91
77,2,77,1,77,8,77,481,77,91
78,2,78,1,78,8,78,482,78,91
79,2,79,1,79,8,79,486,79,92
80,2,80,1,80,9,80,484,80,93
81,2,81,1,81,9,81,488,81,92
82,2,82,1,82,9,82,486,82,92
83,2,83,1,83,9,83,488,83,93
84,2,84,1,84,9,84,486,84,93
85,2,85,1,85,9,85,489,85,92
86,2,86,1,86,9,86,491,86,92
87,3,87,1,87,9,87,490,87,92
88,4,88,1,88,8,88,494,88,93
89,4,89,1,89,8,89,498,89,93
90,5,90,1,90,9,90,498,90,91
91,5,91,1,91,9,91,503,91,91
92,5,92,1,92,9,92,503,92,92
93,5,93,1,93,9,93,504,93,91
94,5,94,1,94,9,94,504,94,90
95,6,95,1,95,8,95,503,95,90
96,6,96,1,96,8,96,503,96,88
97,6,97,1,97,8,97,504,97,88
98,6,98,1,98,8,98,500,98,88
99,6,99,1,99,8,99,496,99,87
100,6,100,1,100,9,100,497,100,87
101,6,101,1,101,9,101,496,101,87
102,6,102,1,102,9,102,496,102,87
103,6,103,1,103,9,103,498,103,86
104,6,104,1,104,9,104,499,104,86
105,6,105,1,105,10,105,499,105,86
106,6,106,1,106,11,106,498,106,85
107,6,107,1,107,12,107,497,107,86
108,6,108,1,108,12,108,495,108,86
109,6,109,1,109,12,109,495,109,86
110,6,110,0,110,13,110,493,110,85
111,6,111,0,111,13,111,494,111,85
112,6,112,0,112,13,112,491,112,84
113,7,113,0,113,13,113,492,113,85
114,7,114,0,114,13,114,491,114,86
115,7,115,0,115,13,115,492,115,85
116,7,116,0,116,13,116,492,116,84
117,7,117,0,117,13,117,494,117,85
118,7,118,0,118,13,118,497,118,85
119,7,119,0,119,13,119,498,119,85
120,7,120,0,120,13,120,499,120,85
121,7,121,0,121,13,121,504,121,85
122,7,122,0,122,12,122,507,122,86
123,7,123,0,123,12,123,507,123,86
124,7,124,0,124,12,124,501,124,85
125,7,125,0,125,12,125,498,125,84
126,8,126,0,126,12,126,497,126,84
127,8,127,0,127,12,127,497,127,85
128,9,128,0,128,12,128,495,128,83
129,9,129,0,129,12,129,497,129,83
130,10,130,0,130,12,130,499,130,83
131,10,131,0,131,13,131,498,131,83
132,10,132,0,132,13,132,498,132,84
133,10,133,0,133,13,133,501,133,84
134,10,134,0,134,13,134,501,134,84
135,10,135,0,135,13,135,499,135,84
136,9,136,0,136,13,136,497,136,84
137,9,137,0,137,13,137,495,137,85
138,9,138,0,138,14,138,494,138,84
139,9,139,1,139,14,139,499,139,82
140,9,140,1,140,14,140,500,140,82
141,10,141,1,141,14,141,500,141,83
142,11,142,1,142,14,142,500,142,83
143,11,143,1,143,14,143,502,143,83
144,11,144,1,144,15,144,503,144,85
145,13,145,1,145,15,145,504,145,85
146,15,146,2,146,15,146,502,146,85
147,16,147,2,147,15,147,500,147,85
148,16,148,2,148,16,148,502,148,86
149,16,149,2,149,16,149,506,149,86
150,17,150,2,150,17,150,502,150,86
151,18,151,2,151,17,151,501,151,86
152,19,152,2,152,17,152,494,152,85
153,19,153,2,153,18,153,495,153,85
154,19,154,2,154,19,154,499,154,86
155,19,155,2,155,19,155,503,155,86
156,19,156,2,156,19,156,504,156,86
157,19,157,2,157,20,157,507,157,85
158,19,158,2,158,19,158,510,158,84
159,19,159,2,159,18,159,514,159,84
160,20,160,2,160,18,160,516,160,84
161,20,161,2,161,18,161,515,161,84
162,21,162,2,162,18,162,512,162,85
163,21,163,2,163,18,163,513,163,86
164,22,164,2,164,19,164,514,164,87
165,22,165,2,165,19,165,514,165,87
166,24,166,2,166,20,166,515,166,86
167,26,167,2,167,20,167,517,167,86
168,26,168,2,168,19,168,518,168,84
169,26,169,2,169,18,169,518,169,84
170,25,170,2,170,18,170,518,170,85
171,25,171,2,171,18,171,515,171,84
172,25,172,2,172,19,172,511,172,84
