ID,Use,industry,industry.group,site,unit,BP.cal.median,C14.mean,C14.SD,C14.COV,calib.curve,sample.id,material,delta 13,method&id,comments,citation,country,region
1,1,Middle Magdalenian,Magdalenian,Abeurador,10,18057,14735,80,0.0054,intcal20,NA,NA,NA,NA,NA,NA,France,N Central
2,1,Montclusien,Mesolithic,Abeurador,5,9758,8740,90,0.0103,intcal20,MC-2144,NA,NA,NA,NA,NA,France,N Central
3,1,Sauveterrian,Mesolithic,Abeurador,7,11143,9755,110,0.0113,intcal20,AA-13083,NA,NA,NA,NA,NA,France,N Central
4,1,Sauveterrien,Mesolithic,Abeurador,7,11295,9845,115,0.0117,intcal20,AA-13084,NA,NA,NA,NA,NA,France,N Central
5,1,Azilien,Epipaleolithic,Abeurador,8,12387,10480,100,0.0095,intcal20,Gif-6746,charcoal,NA,Conv 14C 5360,NA,Hentz C. & Thiebault C. 1998. Quaterry Research 56-68.,France,N Central
6,0,NA,NA,Abeurador,F10B,12544,10580,115,0.0109,intcal20,Ly-949,grains,NA,AMS 3460,industry association not specified,NA,France,N Central
7,0,NA,NA,Abeurador,F8B,12994,11090,90,0.0081,intcal20,Ly-951 & Ky-951,grains,NA,AMS 3462,industry association not specified,NA,France,N Central
8,0,NA,NA,Abeurador,F9A,12594,10580,85,0.008,intcal20,Ly-950,grains,NA,AMS 3461,industry association not specified,NA,France,N Central
9,1,Final Epipalaeolithic,Epipaleolithic,Acqua Fitusa,Upper level 2-1,16653,13760,330,0.024,intcal20,F-26,NA,NA,Conv 14C 6529,NA,Lo Vetro D. e.a. 1999-2000. Rivista di Scienze Preistoriche 50: 103-132.,Italy,Southeast
10,1,Epigravettian Palaeolithic rock art,Magdalenian,Addaura,NA,15410,12890,60,0.0047,intcal20,KIA-36055,collagen of the human remains,NA,AMS 5017,NA,Mannino M. e.a. 2011. JAS 38: 3094-3100.,Italy,Southeast
11,1,Notches and Denticulates Mesolithic,Mesolithic,Agut,4 / 7a,10353,9185,60,0.0065,intcal20,OxA-10049,NA,NA,NA,NA,Vaquero et al. 2002,Spain,N Central
12,1,Notches and Denticulates Mesolithic,Mesolithic,Agut,4 / 7a,10983,9660,110,0.0114,intcal20,OxA-10064,NA,NA,NA,NA,Vaquero et al. 2006,Spain,N Central
13,1,Mesolithic flake industry,Mesolithic,Agut,4.7c,11635,10085,60,0.0059,intcal20,OxA-10050,charcoal,NA,AMS 2066,NA,"Vaquero M. et al.,2002. JAS 29: 953-958.",Spain,N Central
14,1,Mesolithic flake industry,Mesolithic,Agut,4.7c,11313,9895,60,0.0061,intcal20,OxA-10051,charcoal,NA,AMS 2067,NA,"Vaquero M. et al.,2002. JAS 29: 953-958.",Spain,N Central
15,1,Mesolithic flake industry,Mesolithic,Agut,4.7c,11582,10060,65,0.0065,intcal20,OxA-10074,charcoal,NA,AMS 2068,NA,"Vaquero M. et al.,2002. JAS 29: 953-958.",Spain,N Central
16,1,Mesolithic,Mesolithic,Aisone,NA,8116,7345,35,0.0048,intcal20,Ly-4495,NA,NA,NA,NA,Badora,Italy,Northeast
17,1,Mesolithic,Mesolithic,Aisone,NA,7991,7185,35,0.0049,intcal20,Ly-4492,NA,NA,NA,NA,Badora,Italy,Northeast
18,1,Mesolithic,Mesolithic,Aisone,NA,7678,6850,35,0.0051,intcal20,Ly-4494,NA,NA,NA,NA,Badora,Italy,Northeast
19,0,NA,NA,Aldene,Gallery DES PAS,9167,8200,130,0.0159,intcal20,MC-482,NA,NA,NA,industry association not specified,Shenn & Steele 2000,France,N Central
20,1,Solutrean,Solutrean,Ambrosio,II,16649,13740,140,0.0102,intcal20,GifA-A-II.9,charcoal,NA,AMS 7249,date too young for associated industry,"Villaverde,V.,et al. 1998 . (ourl of World Prehistory,12: 121-98,xt",Spain,Southwest
21,1,Solutrean,Solutrean,Ambrosio,II.9,23145,19250,70,0.0036,intcal20,Gif-9883,charcoal,NA,Conv 14C 7901,NA,"Jourl of World Prehistory 12,1998: 121-198,Jorda-Pardo J.F. e.a. 2012. Espacio,Tiempo y Forma I,5: 71..",Spain,Southwest
22,1,Solutrean,Solutrean,Ambrosio,II.4,23027,19110,90,0.0047,intcal20,GifA-II.4,charcoal,NA,Conv 14C 7902,NA,"Jourl of World Prehistory 12,1998: 121-198,Jorda-Pardo J.F. e.a. 2012. Espacio,Tiempo y Forma I,5: 71..",Spain,Southwest
23,1,Solutrean,Solutrean,Ambrosio,II.6,23286,19300,190,0.0098,intcal20,GifA-A-II.6,charcoal,NA,AMS 7248,NA,"Jourl of World Prehistory 12,1998: 121-198,Jorda-Pardo J.F. e.a. 2012. Espacio,Tiempo y Forma I,5: 71..",Spain,Southwest
24,1,Solutrean,Solutrean,Ambrosio,II.1,24206,20150,200,0.0099,intcal20,GifA-955767,charcoal,NA,AMS 7245,NA,"Villaverde,V.,et al. 1998 . (ourl of World Prehistory,12: 121-98,",Spain,Southwest
25,1,Solutrean,Solutrean,Ambrosio,II.2,23139,19170,190,0.0099,intcal20,GifA-A-II.2,charcoal,NA,AMS 7247,NA,"Jourl of World Prehistory 12,1998: 121-198,Jorda-Pardo J.F. e.a. 2012. Espacio,Tiempo y Forma I,5: 71..",Spain,Southwest
26,1,Solutrean,Solutrean,Ambrosio,II.1,24002,19950,210,0.0105,intcal20,GifA-95577,charcoal,NA,AMS 7246,NA,"Villaverde,V.,et al. 1998 . (ourl of World Prehistory,12: 121-98,",Spain,Southwest
27,1,Solutrean,Solutrean,Ambrosio,II,19927,16500,280,0.017,intcal20,Gif-7276,charcoal,NA,Conv 14C 4741,NA,"Villaverde,V.,et al. 1998 . (ourl of World Prehistory,12: 121-98,xt",Spain,Southwest
